item_id,name,low_price_usdt,low_account_label,low_export_datetime,low_message_id,high_price_usdt,high_account_label,high_export_datetime,high_message_id,delta_seconds,price_multiple,binance_item_url
45524336,England,0.11,User-8d9d0,2026-08-02 18:14:13,1511015,45.0,Vipbnbnftus,2026-08-02 18:17:06,1511016,173.0,409.09090909090907,https://www.binance.com/ru/nft/item/45524336
1347709,Scandinavian Bunad,0.11,User-1f0e6,2026-08-01 13:04:39,1510470,42.17,User-ae726,2026-08-01 13:07:32,1510479,173.0,383.3636363636364,https://www.binance.com/ru/nft/item/1347709
1309484,Cozy Knitted Cardigan,0.11,User-d9e99,2026-08-01 13:04:38,1510469,42.27,User-e4226,2026-08-01 13:07:31,1510478,173.0,384.2727272727273,https://www.binance.com/ru/nft/item/1309484
1315732,Continental Tanned Costume,0.12,User-4bb66,2026-08-01 17:02:16,1510542,42.39,User-166a1,2026-08-01 17:05:12,1510553,176.0,353.25,https://www.binance.com/ru/nft/item/1315732
449185,Azure Blue Dress,0.11,User-15663,2026-08-03 11:11:14,1511544,22.01,User-a6778,2026-08-03 11:14:14,1511549,180.0,200.0909090909091,https://www.binance.com/ru/nft/item/449185
436858,Picnic Basket,0.11,User-e0d7d,2026-08-05 10:25:19,1514048,20.29,User-a8282,2026-08-05 10:28:19,1514050,180.0,184.45454545454544,https://www.binance.com/ru/nft/item/436858
424662,Azure Blue Headscarf,0.11,User-c8d54,2026-08-03 14:32:33,1511704,21.91,User-df138,2026-08-03 14:35:34,1511710,181.0,199.1818181818182,https://www.binance.com/ru/nft/item/424662
1345816,Scandinavian Bunad,0.12,User-33814,2026-08-01 17:02:07,1510541,42.19,User-5d4eb,2026-08-01 17:05:13,1510555,186.0,351.5833333333333,https://www.binance.com/ru/nft/item/1345816
1308533,Fall Wreath,0.12,User-05ed0,2026-08-01 17:02:06,1510540,42.29,User-365c6,2026-08-01 17:05:13,1510554,187.0,352.4166666666667,https://www.binance.com/ru/nft/item/1308533
48260148,Japan,0.11,User-8d9d0,2026-08-02 18:14:03,1511013,35.0,Vipbnbnftus,2026-08-02 18:17:11,1511017,188.0,318.1818181818182,https://www.binance.com/ru/nft/item/48260148
47349968,Tunisia,0.11,User-8d9d0,2026-08-02 19:07:14,1511032,23.0,Vipbnbnftus,2026-08-02 19:10:28,1511037,194.0,209.0909090909091,https://www.binance.com/ru/nft/item/47349968
