rank,item_id,name,low_price_usdt,low_account_label,low_datetime,low_message_id,high_price_usdt,high_account_label,high_datetime,high_message_id,delta_seconds,price_multiple,binance_item_url
1,47065203,Denmark,0.11,Arshad-1221,2026-08-08 22:18:11,1518331,45.0,Fan-Token-4,2026-08-08 22:18:38,1518333,27.0,409.09090909090907,https://www.binance.com/ru/nft/item/47065203
2,48967209,Croatia,0.11,Arshad-1221,2026-08-10 22:22:57,1519121,28.0,Fan-Token-4,2026-08-10 22:23:33,1519122,36.0,254.54545454545453,https://www.binance.com/ru/nft/item/48967209
3,59042534,Cameroon,0.11,Arshad-1221,2026-08-09 23:17:13,1518710,45.0,Fan-Token-4,2026-08-09 23:18:31,1518711,78.0,409.09090909090907,https://www.binance.com/ru/nft/item/59042534
4,42361638,Qatar,0.11,Arshad-1221,2026-08-08 22:17:30,1518328,45.0,Fan-Token-4,2026-08-08 22:18:52,1518334,82.0,409.09090909090907,https://www.binance.com/ru/nft/item/42361638
5,42358624,Qatar,0.11,Arshad-1221,2026-08-09 23:11:11,1518706,45.0,Fan-Token-4,2026-08-09 23:12:43,1518707,92.0,409.09090909090907,https://www.binance.com/ru/nft/item/42358624
6,48106439,Croatia,0.11,Arshad-1221,2026-08-09 15:10:24,1518549,47.0,Fan-Token-4,2026-08-09 15:12:39,1518554,135.0,427.27272727272725,https://www.binance.com/ru/nft/item/48106439
7,49769826,Ghana,0.11,Arshad-1221,2026-08-08 22:17:56,1518329,31.0,Fan-Token-4,2026-08-08 22:20:30,1518335,154.0,281.8181818181818,https://www.binance.com/ru/nft/item/49769826
8,50355659,Australia,0.11,Arshad-1221,2026-08-09 16:17:12,1518588,48.0,Fan-Token-4,2026-08-09 16:22:38,1518591,326.0,436.3636363636364,https://www.binance.com/ru/nft/item/50355659
9,12544347,Miya-Common,0.18,Asim80903,2026-08-10 20:52:01,1519107,24.5084749,User-aceb6,2026-08-10 20:52:10,1519108,9.0,136.1581938888889,https://www.binance.com/ru/nft/item/12544347
10,1351018,Nut Brown Shoes,0.18,Asim80903,2026-08-11 01:52:51,1519202,20.2209,User-06924,2026-08-11 01:53:00,1519203,9.0,112.33833333333334,https://www.binance.com/ru/nft/item/1351018
11,12173870,Xayah-Common,0.18,Asim80903,2026-08-08 20:10:27,1518294,20.0,User-c6b1e,2026-08-08 20:10:36,1518295,9.0,111.11111111111111,https://www.binance.com/ru/nft/item/12173870
12,12073589,T - Mac Time Commemorative Edition 9,0.15,Asim80903,2026-08-11 01:20:28,1519181,25.1384,User-9a5b8,2026-08-11 01:20:38,1519183,10.0,167.58933333333334,https://www.binance.com/ru/nft/item/12073589
13,12177795,Xayah-Common,0.18,Asim80903,2026-08-08 13:56:09,1518209,20.0,User-79d1b,2026-08-08 13:56:27,1518210,18.0,111.11111111111111,https://www.binance.com/ru/nft/item/12177795
14,1323352,Cozy Knitted Cardigan,0.18,Asim80903,2026-08-11 01:58:44,1519204,20.3471837,User-e5bd7,2026-08-11 01:59:02,1519205,18.0,113.03990944444445,https://www.binance.com/ru/nft/item/1323352
15,12172670,Celia-Common,0.18,Asim80903,2026-08-08 15:29:38,1518220,22.2,User-53029,2026-08-08 15:30:00,1518221,22.0,123.33333333333333,https://www.binance.com/ru/nft/item/12172670
16,56177,MEKACORNO U9,0.2,Asim80903,2026-08-11 13:16:31,1519472,20.0869,User-483bf,2026-08-11 13:16:36,1519474,5.0,100.4345,https://www.binance.com/ru/nft/item/56177
17,975397,APOKI GET IT OUT R(B),0.18,User-e4b30,2026-08-10 11:23:08,1518863,21.32,User-efcdb,2026-08-10 11:23:31,1518864,23.0,118.44444444444446,https://www.binance.com/ru/nft/item/975397
18,978551,APOKI GET IT OUT N(C),0.18,User-e4b30,2026-08-10 11:23:54,1518865,21.43,User-c07aa,2026-08-10 11:24:25,1518866,31.0,119.05555555555556,https://www.binance.com/ru/nft/item/978551
19,980528,APOKI GET IT OUT N(H),0.18,User-f4ed8,2026-08-10 12:44:36,1518948,21.6,User-4cf3d,2026-08-10 12:45:18,1518952,42.0,120.00000000000001,https://www.binance.com/ru/nft/item/980528
20,24691665,Alien Worlds Binance Mission 1:1,0.12,SAIKAT59371,2026-08-03 12:38:46,1511632,52.35,44444444,2026-08-03 12:45:09,1511634,383.0,436.25,https://www.binance.com/ru/nft/item/24691665
